[dotenv@17.2.3] injecting env (11) from .env -- tip: =ƒöÉ prevent committing .env to code: https://dotenvx.com/precommit
User: Peter (f0b9225a-fa3a-44b7-bf9f-32ab1399b74e)
All requests for Peter: 49
- ID: ddc2e117-c812-4e33-9021-65bca55e14e1, Status: CANCELED, Start: 2026-02-16T00:00:00.000Z, End: 2026-02-16T00:00:00.000Z, Type: Holiday
- ID: 22b4b0f0-7fa9-49bd-8f33-c806dc5ce8a2, Status: REJECTED, Start: 2026-02-17T00:00:00.000Z, End: 2026-02-17T00:00:00.000Z, Type: Holiday
- ID: 281e4ae3-0be0-4027-8847-7f566bdef2df, Status: APPROVED, Start: 2026-02-20T00:00:00.000Z, End: 2026-02-20T00:00:00.000Z, Type: Holiday
- ID: d43cdf56-3d41-4833-aab7-58ad7f707d1c, Status: NEW, Start: 2026-02-19T00:00:00.000Z, End: 2026-02-19T00:00:00.000Z, Type: Holiday
- ID: ff9d3524-4041-489e-b2b5-b93c6d01c280, Status: APPROVED, Start: 2026-02-24T00:00:00.000Z, End: 2026-02-24T00:00:00.000Z, Type: Holiday
- ID: ebf0b740-2834-4d64-9c22-e1155477f3c5, Status: APPROVED, Start: 2026-02-23T00:00:00.000Z, End: 2026-02-23T00:00:00.000Z, Type: Holiday
- ID: 57e228fc-97a1-473c-9755-2ef32e440e69, Status: REJECTED, Start: 2026-02-18T00:00:00.000Z, End: 2026-02-18T00:00:00.000Z, Type: Holiday
- ID: 6a03b674-2a02-4343-8542-edbfe8af2a0e, Status: APPROVED, Start: 2026-02-25T00:00:00.000Z, End: 2026-02-25T00:00:00.000Z, Type: Holiday
- ID: b5f9a8d0-bc83-4d9b-9a96-1d68ed26e93c, Status: APPROVED, Start: 2026-02-26T00:00:00.000Z, End: 2026-02-26T00:00:00.000Z, Type: Holiday
- ID: 5d2273f9-aa7b-4887-95c6-ca9a032bacf8, Status: REJECTED, Start: 2026-03-04T00:00:00.000Z, End: 2026-03-04T00:00:00.000Z, Type: Holiday
- ID: dd14e08b-1c7d-4080-a829-96a6af1880b7, Status: APPROVED, Start: 2026-02-27T00:00:00.000Z, End: 2026-02-27T00:00:00.000Z, Type: Holiday
- ID: 809ba438-409f-4a5a-91ea-451b8ee1fa2d, Status: APPROVED, Start: 2026-03-02T00:00:00.000Z, End: 2026-03-02T00:00:00.000Z, Type: Holiday
- ID: 370ac1b5-8460-41ad-a21c-c6c095feeb07, Status: REJECTED, Start: 2026-03-05T00:00:00.000Z, End: 2026-03-05T00:00:00.000Z, Type: Holiday
- ID: 16e9f7de-4393-49ce-ab2b-adb5a6a48125, Status: APPROVED, Start: 2026-03-03T00:00:00.000Z, End: 2026-03-03T00:00:00.000Z, Type: Holiday
- ID: 518c09c8-05ff-4890-baa0-4855bc50b031, Status: CANCELED, Start: 2026-02-17T00:00:00.000Z, End: 2026-02-17T00:00:00.000Z, Type: Holiday
- ID: 181b1673-3a5d-47a3-8d7f-87cd3af5122d, Status: CANCELED, Start: 2026-02-18T00:00:00.000Z, End: 2026-02-18T00:00:00.000Z, Type: Holiday
- ID: d99b712f-9e4c-485a-bea0-2d4971a5a1bb, Status: CANCELED, Start: 2026-03-06T00:00:00.000Z, End: 2026-03-06T00:00:00.000Z, Type: Holiday
- ID: 39bf3e5a-d1f7-4ca2-bed5-73b3e74411ec, Status: CANCELED, Start: 2026-03-10T00:00:00.000Z, End: 2026-03-10T00:00:00.000Z, Type: Holiday
- ID: a054e866-04a9-4348-a997-6f0426794a54, Status: CANCELED, Start: 2026-03-09T00:00:00.000Z, End: 2026-03-09T00:00:00.000Z, Type: Holiday
- ID: 14617573-af1f-4f2d-ac9a-4a622f9e2546, Status: CANCELED, Start: 2026-03-06T00:00:00.000Z, End: 2026-03-06T00:00:00.000Z, Type: Holiday
- ID: 423c8e1a-4cf1-4552-945d-d5e0a243aa47, Status: CANCELED, Start: 2026-03-04T00:00:00.000Z, End: 2026-03-04T00:00:00.000Z, Type: Holiday
- ID: 59cd4ecf-b8d7-43de-a9ed-58757d098bc1, Status: APPROVED, Start: 2026-03-06T00:00:00.000Z, End: 2026-03-06T00:00:00.000Z, Type: Holiday
- ID: cd90fc3a-08b9-4067-b7d5-ee792403705d, Status: NEW, Start: 2026-03-09T00:00:00.000Z, End: 2026-03-10T00:00:00.000Z, Type: Holiday
- ID: 859ee4e6-d2d8-4e38-befa-c4ed64cfa019, Status: CANCELED, Start: 2026-03-05T00:00:00.000Z, End: 2026-03-05T00:00:00.000Z, Type: Holiday
- ID: 6b140cf1-701c-478d-8fe3-83651169d81a, Status: CANCELED, Start: 2026-03-04T00:00:00.000Z, End: 2026-03-04T00:00:00.000Z, Type: Holiday
